Level	Item	Description	Revision	Type	Status	Engineering Item	Item Seq	Op Seq	Alternate	Engineering Bill	Comments	UOM	Basis	Quantity	Planning %	Yield	Extended Quantity	Effectivity Control	From	To	From Date	To Date	Implemented	ECO	Supply Type	Subinventory	Locator	Costed	Unit Cost	Extended Quantity	Extended Cost	Operation Seq	Manufacturing	Offset	Cumulative Manufacuturing	Cumulative Total	Optional	Mutually Exclusive	ATP	Min Qty	Max Qty	Sales Order Basis	Shippable	Include on Ship Docs	Required To Ship	Required For Revenue	
4	FS0015620BE8	OPTEVA 562 TTW WALK-UP CD	000	Subassembly	Attribute		100	1				EA	Item	1	100	1	1	Date			14-JUL-2016 13:40:28		*							1		1			0	0	*					None	*				
4	FB006811001C	Agilis XFS for Opteva, v4.1.2 Platform Preload PKG	000	Subassembly	Attribute		60	1				EA	Item	1	100	1	1	Date			14-JUL-2016 13:40:01		*							1		1			0	0	*					None	*				
4	FB006962000A	Shared Branch v2.1 Licenses (New)	000	Subassembly	Attribute		20	1				EA	Item	1	0	1	1	Date			31-MAR-2016 11:28:23		*							1		1			0	0	*					None	*				
4	FB006963000A	Shared Branch v2.1 Maintenance License	000	Subassembly	Attribute		30	1				EA	Item	1	0	1	1	Date			31-MAR-2016 11:28:25		*							1		1			0	0	*					None	*				
4	FB006961000A	Shared Branch v2.1.0 Media	000	Subassembly	Attribute		30	1				EA	Item	1	0	1	1	Date			31-MAR-2016 11:28:48		*							1		1			0	0	*					None	*				
5	FBDC2114000F	HDDSK DRV,ENCRYPTED,SATA,500G,2.5IN,OPTEVA	000	Subassembly	Attribute		10	1				EA	Item	1	0	1	1	Date			08-SEP-2015 10:21:33		*							1		1			0	0	*					None	*				
5	FB002114000F	HDDSK DRV,ENCRYPTED,SATA,500G,2.5IN,OPTEVA	000	Subassembly	Attribute		20	1				EA	Item	1	0	1	1	Date			08-SEP-2015 10:21:36		*							1		1			0	0	*					None	*				
3	FBDC7165FS0I	INSTL KIT,CCR,WU,LT	000	Subassembly	Attribute		40	1				EA	Item	1	100	1	1	Date			14-JUL-2016 14:58:01		*							1		1			0	0	*					None	*				
3	FBDC7165FS0K	INSTL KIT,CCR,WU,760,W/HDPHN	000	Subassembly	Attribute		50	1				EA	Item	1	100	1	1	Date			14-JUL-2016 14:57:59		*							1		1			0	0	*					None	*				
3	FBDC7165FS0L	INSTL KIT,CCR RT,WU,W/HDPHN	000	Subassembly	Attribute		60	1				EA	Item	1	100	1	1	Date			14-JUL-2016 14:57:58		*							1		1			0	0	*					None	*				
