Level	Item	Description	Revision	Type	Status	Engineering Item	Item Seq	Op Seq	Alternate	Engineering Bill	Comments	UOM	Basis	Quantity	Planning %	Yield	Extended Quantity	Effectivity Control	From	To	From Date	To Date	Implemented	ECO	Supply Type	Subinventory	Locator	Costed	Unit Cost	Extended Quantity	Extended Cost	Operation Seq	Manufacturing	Offset	Cumulative Manufacuturing	Cumulative Total	Optional	Mutually Exclusive	ATP	Min Qty	Max Qty	Sales Order Basis	Shippable	Include on Ship Docs	Required To Ship	Required For Revenue	
3	FB008701000A	COLOR SCHEME 8701,MICA GUN METAL,MICA BLACK,MICA SILVER	000	Purchased item	ATT-FIN		10	1				EA	Item	1	0	1	1	Date			27-MAY-2014 00:00:00		*							1		1	26		0	31	*					None	*				
3	FB008716000A	COLOR SCHEME 8716, DIEBOLD 7790	000	Subassembly	Attribute		20	1				EA	Item	1	0	1	1	Date			21-JUN-2016 15:00:24		*							1		1			0	0	*					None	*				
3	FB008717000A	COLOR SCHEME 8717, DIEBOLD 5500	000	Subassembly	Attribute		30	1				EA	Item	1	0	1	1	Date			11-JUL-2016 17:25:31		*							1		1			0	0	*					None	*				
3	FB008717000B	COLOR SCHEME 8717, DIEBOLD 7700	000	Subassembly	Attribute		40	1				EA	Item	1	0	1	1	Date			12-JUL-2016 08:33:35		*							1		1			0	0	*					None	*				
3	FB008719000A	COLOR SCHEME 8719, DIEBOLD 3700	000	Subassembly	Attribute		50	1				EA	Item	1	0	1	1	Date			23-AUG-2016 15:49:49		*							1		1			0	0	*					None	*				
3	FBB5700T000A	Final System Test 5700 Terminal	000	Subassembly	Attribute		10	1				EA	Item	1	0	1	1	Date			27-FEB-2015 14:59:16		*		Phantom					1		1			0	0	*					None	*				
3	FBRSTS00000A	Direct Ship from Manufacturing	000	Subassembly	Attribute		20	1				EA	Item	1	0	1	1	Date			18-MAY-2016 09:58:29		*							1		1			0	0	*					None	*				
3	FBRCTS00000A	Custom Terminal Staging	000	Subassembly	Attribute		30	1				EA	Item	1	0	1	1	Date			18-MAY-2016 09:58:32		*							1		1			0	0	*					None	*				
3	FBMFLK00000M	Braille fascia label kit for Diebold high performance series terminals, headphone jack and function key, black	000	Purchased item	ATT-MAT		10	1				EA	Item	1	0	1	1	Date			27-FEB-2015 15:01:52		*		Phantom					1		1	1		0	3	*					None	*				
3	FBMFLK00000N	Braille fascia label kit for Diebold high performance series terminals, headphone jack and func	000	Purchased item	ATT-MAT		20	1				EA	Item	1	0	1	1	Date			27-FEB-2015 15:01:54		*		Phantom					1		1	1		0	3	*					None	*				
3	FBMFLK00000K	Braille fascia label kit for Diebold high performance series terminals, module identification, black	000	Purchased item	ATT-MAT		10	1				EA	Item	1	0	1	1	Date			09-APR-2015 08:56:15		*							1		1	1		0	3	*					None	*				
3	FBMFLK00000L	Braille fascia label kit for Diebold high performance series terminals, module identification,	000	Purchased item	ATT-MAT		20	1				EA	Item	1	0	1	1	Date			09-APR-2015 08:56:13		*							1		1	1		0	3	*					None	*				
3	FBB5700LF00A	OBSOLETE - Diebold 5700 terminal basic lower structure	000	Subassembly	Attribute		10	1				EA	Item	1	0	1	1	Date			30-MAR-2015 14:02:15		*		Phantom					1		1			0	0	*					None	*				
3	FBB5700LF00C	Basic lower structure, Diebold 5700 and 5750 terminals with UL rated safes	000	Subassembly	Attribute		20	1				EA	Item	1	0	1	1	Date			05-JAN-2016 13:17:53		*		Phantom					1		1			0	0	*					None	*				
3	FBB5700LF00B	Basic lower structure for Diebold 5700 and 5750 terminals with CEN rated safes (DBD)	000	Subassembly	Attribute		30	1				EA	Item	1	0	1	1	Date			15-MAR-2016 09:53:41		*		Phantom					1		1			0	0	*					None	*				
6	FBSXFS410N0A	Diebold XFS, v6.0.2 Preload Package	000	Subassembly	Attribute		10	1				EA	Item	1	0	1	1	Date			06-JAN-2015 13:04:05		*							1		1			0	0	*					None	*				
6	FBSXFS410N0C	Diebold XFS v6.0.3, Preload Package	000	Subassembly	Attribute		20	1				EA	Item	1	0	1	1	Date			07-JUL-2015 10:26:25		*							1		1			0	0	*					None	*				
6	FBSNDX101N0A	Agilis3 NDx License Package	000	Subassembly	Attribute		20	1				EA	Item	1	0	1	1	Date			18-NOV-2015 13:16:00		*							1		1			0	0	*					None	*				
