Level	Item	Description	Revision	Type	Status	Engineering Item	Item Seq	Op Seq	Alternate	Engineering Bill	Comments	UOM	Basis	Quantity	Planning %	Yield	Extended Quantity	Effectivity Control	From	To	From Date	To Date	Implemented	ECO	Supply Type	Subinventory	Locator	Costed	Unit Cost	Extended Quantity	Extended Cost	Operation Seq	Manufacturing	Offset	Cumulative Manufacuturing	Cumulative Total	Optional	Mutually Exclusive	ATP	Min Qty	Max Qty	Sales Order Basis	Shippable	Include on Ship Docs	Required To Ship	Required For Revenue	
1	9200	9200 ATO Model	000	ATO model	ATT-FIN		10	1				EA	Item	1	100	1	1	Date			25-SEP-2015 14:35:45		*		Phantom					1		1					*					None	*				
3	FB008702000A	Color Scheme 8702,Traffic White,White Aluminum	000	Subassembly	Attribute		10	1				EA	Item	1	0	1	1	Date			12-OCT-2015 13:22:23		*							1		1			0	0	*					None	*				
4	FBMAPCB4000A	PC MODULE, INTEL I5, 4GB	000	Subassembly	Attribute		10	1				EA	Item	1	0	1	1	Date			25-SEP-2015 15:33:57		*							1		1			0	0	*					None	*				
4	FBFAPC92000A	INSTALL KIT, PC MODULE	000	Subassembly	Attribute		10	1				EA	Item	1	0	1	1	Date			25-SEP-2015 15:33:57		*							1		1			0	0	*					None	*				
4	FBFXSD92000A	FACTORY INSTALL KIT, CONSUMER DISPLAY	000	Subassembly	Attribute		10	1				EA	Item	1	0	1	1	Date			25-SEP-2015 15:33:57		*							1		1			0	0	*					None	*				
4	FBFXSD9200TA	FACTORY INSTALL KIT, CONSUMER DISPLAY TOUCHSCREEN	000	Subassembly	Attribute		10	1				EA	Item	1	0	1	1	Date			25-SEP-2015 15:33:57		*							1		1			0	0	*					None	*				
4	FBMSCL920F0A	SAFE, CEN L, DIEBOLD 9200 FL LOBBY	000	Subassembly	Attribute		10	1				EA	Item	1	0	1	1	Date			25-SEP-2015 15:33:57		*							1		1			0	0	*					None	*				
4	FBMSC3920F0A	Safe, CEN 3, Diebold 9200 FL Lobby	000	Subassembly	Attribute		20	1				EA	Item	1	0	1	1	Date			01-MAR-2016 09:54:18		*							1		1			0	0	*					None	*				
4	FBMZBA92000A	BASIC ALARM CARD, 9200	000	Subassembly	Attribute		10	1				EA	Item	1	0	1	1	Date			25-SEP-2015 15:33:57		*							1		1			0	0	*					None	*				
4	FBMZLC92000A	ACTIVGUARD, 9200	000	Subassembly	Attribute		20	1				EA	Item	1	0	1	1	Date			25-SEP-2015 15:33:57		*							1		1			0	0	*					None	*				
4	FBMZBS92000A	BASIC SENSOR KIT, 9200	000	Subassembly	Attribute		10	1				EA	Item	1	0	1	1	Date			25-SEP-2015 15:33:57		*							1		1			0	0	*					None	*				
4	FBMZBS92000B	Basic Sensor Kit, 9200, CEN 40mm	000	Subassembly	Attribute		20	1				EA	Item	1	0	1	1	Date			01-MAR-2016 09:58:39		*							1		1			0	0	*					None	*				
4	FBFZSDW0000A	Factory install kit, safe wall seismic detector	000	Subassembly	Attribute		10	1				EA	Item	1	0	1	1	Date			25-SEP-2015 15:33:57		*							1		1			0	0	*					None	*				
4	FBFZSDSJ000A	Factory install kit, no seismic detector on safe wall	000	Subassembly	Attribute		20	1				EA	Item	1	0	1	1	Date			29-SEP-2015 14:41:51		*							1		1			0	0	*					None	*				
4	FBFZSDD0000A	Factory install kit, safe door seismic detector	000	Subassembly	Attribute		10	1				EA	Item	1	0	1	1	Date			29-SEP-2015 14:42:51		*							1		1			0	0	*					None	*				
4	FBFZSDDJ000A	Factory install kit, no seismic detector on safe door	000	Subassembly	Attribute		20	1				EA	Item	1	0	1	1	Date			25-SEP-2015 15:33:57		*							1		1			0	0	*					None	*				
4	FBFLKSEAL00A	Factory install kit, safe door lock seal for CEN L / CEN I rated safes	000	Subassembly	Attribute		10	1				EA	Item	1	0	1	1	Date			01-MAR-2016 09:39:42		*							1		1			0	0	*					None	*				
3	FBMXSPR9200A	ACTIVPOWER SMARTPOWER BATTERY BACKUP, 9200	000	Subassembly	Attribute		10	1				EA	Item	1	0	1	1	Date			25-SEP-2015 14:35:45		*							1		1			0	0	*					None	*				
3	FBB9200FUFLA	Diebold 9200 Upper Fascia structure, CEN Safe, flagship finish, No CCR	000	Subassembly	Attribute		10	1				EA	Item	1	0	1	1	Date			25-SEP-2015 14:35:45		*							1		1			0	0	*					None	*				
3	FBB9200FUFLB	Diebold 9200 Upper Fascia structure, CEN Safe, flagship finish, CCR	000	Subassembly	Attribute		20	1				EA	Item	1	0	1	1	Date			01-MAR-2016 10:00:34		*							1		1			0	0	*					None	*				
3	FBB9200ULF0A	Diebold 9200 Upper Structure, CEN L, flagship finish	000	Subassembly	Attribute		10	1				EA	Item	1	0	1	1	Date			25-SEP-2015 14:35:45		*							1		1			0	0	*					None	*				
3	FBB9200ULF0B	Diebold 9200 Upper Structure, CEN 3, flagship finish	000	Subassembly	Attribute		20	1				EA	Item	1	0	1	1	Date			01-MAR-2016 10:01:21		*							1		1			0	0	*					None	*				
3	FBB9200LLF0A	DIEBOLD 9200 LOWER STRUCTURE, CEN L, FLAGSHIP FINISH	000	Subassembly	Attribute		10	1				EA	Item	1	0	1	1	Date			25-SEP-2015 14:35:45		*							1		1			0	0	*					None	*				
3	FBB9200LLF0B	Diebold 9200 Lower Structure, CEN 3, flagship finish	000	Subassembly	Attribute		20	1				EA	Item	1	0	1	1	Date			01-MAR-2016 10:01:58		*							1		1			0	0	*					None	*				
3	FBB9200BLF0A	Diebold 9200 Beauty Door, CEN L, flagship finish	000	Subassembly	Attribute		10	1				EA	Item	1	0	1	1	Date			25-SEP-2015 14:35:45		*							1		1			0	0	*					None	*				
3	FBB9200BLF0B	Diebold 9200 Beauty Door, CEN 3, flagship finish	000	Subassembly	Attribute		20	1				EA	Item	1	0	1	1	Date			01-MAR-2016 10:06:27		*							1		1			0	0	*					None	*				
3	FBMLKT92000A	Terminal Common Key Lock	000	Subassembly	Attribute		10	1				EA	Item	1	0	1	1	Date			25-SEP-2015 14:35:45		*							1		1			0	0	*					None	*				
3	FBMLKT92000B	Terminal Common Key Lock	000	Subassembly	Attribute		20	1				EA	Item	1	0	1	1	Date			01-MAR-2016 10:07:21		*							1		1			0	0	*					None	*				
4	FB00215000AD	ECRM Lite,Upper,Lobby,Type 5B+ BV,URJB	000	Subassembly	Attribute		40	1				EA	Item	1	0	1	1	Date			01-MAR-2016 10:08:30		*							1		1			0	0	*					None	*				
4	FB00215000AH	ECRM Lite & Extra-Wide,Upper,Lobby,Type 5B+ BV,URJB	000	Subassembly	Attribute		50	1				EA	Item	1	0	1	1	Date			01-MAR-2016 10:08:31		*							1		1			0	0	*					None	*				
4	FB00215000AC	ECRM Lite,Upper,Lobby,Type 5A BV,URJB	000	Subassembly	Attribute		60	1				EA	Item	1	0	1	1	Date			01-MAR-2016 10:08:51		*							1		1			0	0	*					None	*				
4	FB00215000AL	ECRM LITE & EXTRA-WIDE,UPR,LOBBY,TYPE 5B+ BV,Tier 3	000	Subassembly	Attribute		70	1				EA	Item	1	0	1	1	Date			14-JUN-2016 11:17:12		*							1		1			0	0	*					None	*				
4	FB00215000CG	ECRM LITE & EXTRA-WIDE,UPR,LOBBY,TYPE 5A BV,Tier 2	000	Subassembly	Attribute		80	1				EA	Item	1	0	1	1	Date			14-JUN-2016 11:17:11		*							1		1			0	0	*					None	*				
4	FB00215000AR	ECRM LITE & EXTRA-WIDE,UPR,LOBBY,TYPE 5A BV,Tier 1.2	000	Subassembly	Attribute		90	1				EA	Item	1	0	1	1	Date			14-JUN-2016 11:17:07		*							1		1			0	0	*					None	*				
4	FB00215000AG	ECRM LITE & EXTRA-WIDE,UPR,LOBBY,TYPE 5A BV,URJB	000	Subassembly	Attribute		100	1				EA	Item	1	0	1	1	Date			14-JUN-2016 11:17:07		*							1		1			0	0	*					None	*				
4	FB00215000AS	ECRM LITE & EXTRA-WIDE,UPR,LOBBY,TYPE 5B+ BV,Tier 1.2	000	Subassembly	Attribute		110	1				EA	Item	1	0	1	1	Date			14-JUN-2016 11:17:06		*							1		1			0	0	*					None	*				
4	FB00215000CH	ECRM LITE & EXTRA-WIDE,UPR,LOBBY,TYPE 5B+ BV,Tier 2	000	Subassembly	Attribute		120	1				EA	Item	1	0	1	1	Date			14-JUN-2016 11:17:06		*							1		1			0	0	*					None	*				
4	FBFRARU9200A	ACTIVRECYCLE FACTORY INSTALL KIT, 9200, UPPER	000	Subassembly	Attribute		10	1				EA	Item	1	0	1	1	Date			25-SEP-2015 15:33:57		*							1		1			0	0	*					None	*				
4	FBFRARL9200A	ACTIVRECYCLE FACTORY INSTALL KIT, 9200, CEN LOWER	000	Subassembly	Attribute		10	1				EA	Item	1	0	1	1	Date			25-SEP-2015 15:33:57		*							1		1			0	0	*					None	*				
4	FBFRARL9200B	ACTIVRECYCLE FACTORY INSTALL KIT, 9200, CEN 3 LOWER	000	Subassembly	Attribute		20	1				EA	Item	1	0	1	1	Date			01-MAR-2016 10:09:49		*							1		1			0	0	*					None	*				
4	FBB9200ULF0C	Kit, ECRM Lite, Picture Frame, 9200	000	Subassembly	Attribute		10	1				EA	Item	1	0	1	1	Date			01-MAR-2016 10:10:47		*							1		1			0	0	*					None	*				
4	FBFIFP92000A	FCTY INSTL KIT, FRPNT RDR	000	Subassembly	Attribute		10	1				EA	Item	1	0	1	1	Date			25-SEP-2015 15:33:57		*							1		1			0	0	*					None	*				
4	FBFIFPXX0F0A	FFACTORY INSTALL KIT, NO FINGERPRINT READER, FLAGSHIP	000	Subassembly	Attribute		20	1				EA	Item	1	0	1	1	Date			25-SEP-2015 15:33:57		*							1		1			0	0	*					None	*				
4	FBFCCR49200A	INSTALL KIT, CCR4	000	Subassembly	Attribute		10	1				EA	Item	1	0	1	1	Date			25-SEP-2015 15:33:57		*							1		1			0	0	*					None	*				
3	FBP9200D010A	Packaging for 9200 Terminal	000	Subassembly	Attribute		10	1				EA	Item	1	0	1	1	Date			07-OCT-2015 11:14:27		*							1		1			0	0	*					None	*				
6	FBSXFS410N0A	Diebold XFS, v6.0.2 Preload Package	000	Subassembly	Attribute		10	1				EA	Item	1	0	1	1	Date			06-JAN-2015 13:04:05		*							1		1			0	0	*					None	*				
6	FBSXFS410N0C	Diebold XFS v6.0.3, Preload Package	000	Subassembly	Attribute		20	1				EA	Item	1	0	1	1	Date			07-JUL-2015 10:26:25		*							1		1			0	0	*					None	*				
6	FBSNDX101N0A	Agilis3 NDx License Package	000	Subassembly	Attribute		20	1				EA	Item	1	0	1	1	Date			18-NOV-2015 13:16:00		*							1		1			0	0	*					None	*				
6	FBS91X110N0A	Agilis 3 91x for Opteva One-Time-Charge EMEA License	000	Subassembly	Attribute		30	1				EA	Item	1	0	1	1	Date			27-APR-2016 16:32:36		*							1		1			0	0	*					None	*				
6	FBS91X104N0A	Agilis 3 91x Diebold Terminal Field Upgrade License	000	Subassembly	Attribute		40	1				EA	Item	1	100	1	1	Date			13-JUN-2016 09:35:48		*							1		1			0	0	*					None	*				
6	FBS91X114N0A	Agilis 3 91x for Opteva One-Time-Charge EMEA Upgrade License	000	Subassembly	Attribute		50	1				EA	Item	1	100	1	1	Date			13-JUN-2016 09:35:49		*							1		1			0	0	*					None	*				
6	FBS91X115N0A	Agilis 3 91x for Opteva One-Time-Charge AP Upgrade License	000	Subassembly	Attribute		60	1				EA	Item	1	100	1	1	Date			13-JUN-2016 09:35:52		*							1		1			0	0	*					None	*				
6	FBS91X401N0A	Agilis 3 91x SP4 Factory Preload Package	000	Subassembly	Attribute		10	1				EA	Item	1	0	1	1	Date			30-MAR-2015 11:30:25		*		Phantom					1		1			0	0	*					None	*				
6	FBSNDX401N0A	Agilis 3 NDx SP6 Factory Preload Package	000	Subassembly	Attribute		20	1				EA	Item	1	0	1	1	Date			18-NOV-2015 13:19:27		*		Phantom					1		1			0	0	*					None	*				
6	FBSABM410N0A	Agilis EmPower Basic Maintenance v2.5 Preload Package	000	Subassembly	Attribute		20	1				EA	Item	1	100	1	1	Date			08-JUL-2015 08:51:10		*							1		1			0	0	*					None	*				
6	FBSNDX102N0A	Agilis3 NDx License - Cash Dispenser	000	Subassembly	Attribute		30	1				EA	Item	1	0	1	1	Date			18-NOV-2015 13:23:19		*							1		1			0	0	*					None	*				
6	FBSNDX103N0A	Agilis3 NDx License - Advanced Function	000	Subassembly	Attribute		40	1				EA	Item	1	0	1	1	Date			18-NOV-2015 13:23:18		*							1		1			0	0	*					None	*				
6	FBSXFS410N0A	Diebold XFS, v6.0.2 Preload Package	000	Subassembly	Attribute		10	1				EA	Item	1	0	1	1	Date			28-JAN-2015 14:00:00		*							1		1			0	0	*					None	*				
6	FBSXFS410N0C	Diebold XFS v6.0.3, Preload Package	000	Subassembly	Attribute		20	1				EA	Item	1	0	1	1	Date			27-JUL-2015 12:01:47		*							1		1			0	0	*					None	*				
