Level	Item	Description	Revision	Type	Status	Engineering Item	Item Seq	Op Seq	Alternate	Engineering Bill	Comments	UOM	Basis	Quantity	Planning %	Yield	Extended Quantity	Effectivity Control	From	To	From Date	To Date	Implemented	ECO	Supply Type	Subinventory	Locator	Costed	Unit Cost	Extended Quantity	Extended Cost	Operation Seq	Manufacturing	Offset	Cumulative Manufacuturing	Cumulative Total	Optional	Mutually Exclusive	ATP	Min Qty	Max Qty	Sales Order Basis	Shippable	Include on Ship Docs	Required To Ship	Required For Revenue	
4	FB008651000A	Custom Color Scheme 8651,Diebold 9900 (US Bank Only)	000	Subassembly	Attribute		20	1				EA	Item	1	100	1	1	Date			19-AUG-2015 10:02:17		*							1		1			0	0	*					None	*				
3	FBUFID99FS0A	Receipt Cove w/DLS, 9900, Flagship	000	Subassembly	Attribute		10	1				EA	Item	1	0	1	1	Date			11-APR-2016 14:17:35		*							1		1			0	0	*					None	*				
3	FBUFID99PP0A	Receipt, Cove w/DLS, 9900, Custom	000	Subassembly	Attribute		20	1				EA	Item	1	0	1	1	Date			11-APR-2016 14:17:27		*							1		1			0	0	*					None	*				
4	FBKCRMTMD00H	Field install kit, TMD CPK+ 6001 card protection kit with TVK and SDK, motorized card reader (model 2), Diebold 3550 series terminals	000	Subassembly	Attribute		10	1				EA	Item	1	0	1	1	Date			11-APR-2016 14:15:02		*							1		1			0	0	*					None	*				
4	FBKCRMTMD00B	Field install kit, TMD CPK+ 6001 card protection kit with TVK and SDK, motorized card reader (model 2), Diebold 5550 series terminals	000	Subassembly	Attribute		20	1				EA	Item	1	0	1	1	Date			11-APR-2016 14:14:55		*							1		1			0	0	*					None	*				
4	FBKCRMTMD00C	Field install kit, TMD CPK+ 6001 card protection kit with TVK and SDK, motorized card reader (model 2), Diebold 5700, 7700 and 7750 terminals	000	Subassembly	Attribute		30	1				EA	Item	1	0	1	1	Date			22-AUG-2016 11:21:57		*							1		1			0	0	*					None	*				
4	FBKCRMTMD00D	Field install kit, TMD CPK+ 6001 card protection kit with TVK and SDK, motorized card reader (model 2), Diebold 5750 terminals	000	Subassembly	Attribute		40	1				EA	Item	1	0	1	1	Date			22-AUG-2016 11:21:48		*							1		1			0	0	*					None	*				
4	FBMCBZCRM00C	Motorized card reader bezel, CS 77XX systems, Mica Gunmetal	000	Subassembly	Attribute		20	1				EA	Item	1	0	1	1	Date			19-AUG-2016 16:37:44		*							1		1			0	0	*					None	*				
4	FBMCBZCRM00G	KIT,BEZEL,MTZ CD RDR,MICA GUNMETAL, FL	000	Subassembly	Attribute		30	1				EA	Item	1	0	1	1	Date			19-AUG-2016 16:37:59		*							1		1			0	0	*					None	*				
4	FBKCRMSL000A	FIELD UPGRADE KIT,MTZ CD RDR,5500/7500/7550	000	Subassembly	Attribute		10	1				EA	Item	1	0	1	1	Date			19-AUG-2016 16:39:49		*							1		1			0	0	*					None	*				
4	FBKCRMSL000C	Field Upgrade Kit, Motorized Card Reader, Diebold 5550 Terminal	000	Subassembly	Attribute		20	1				EA	Item	1	0	1	1	Date			19-AUG-2016 16:39:50		*							1		1			0	0	*					None	*				
4	FBKCRMHP000A	FIELD UPGRADE KIT,MTZ CD RDR,7700/7750/7780	000	Subassembly	Attribute		30	1				EA	Item	1	0	1	1	Date			19-AUG-2016 16:39:51		*							1		1			0	0	*					None	*				
4	FBKCRMHP000B	FIELD UPGRADE KIT,MTZ CD RDR,5700/5750/37xx	000	Subassembly	Attribute		40	1				EA	Item	1	0	1	1	Date			19-AUG-2016 16:39:52		*							1		1			0	0	*					None	*				
4	FBKCRMSP000C	FIELD UPGRADE KIT,MTZ CD RDR,7790	000	Subassembly	Attribute		50	1				EA	Item	1	0	1	1	Date			19-AUG-2016 16:40:36		*							1		1			0	4	*					None	*				
4	FBFAIO15NF0A	Factory Install Kit, All-In-One PC, 15" Consumer Display, No Function Keys	000	Purchased item	ATT-MAT		10	1				EA	Item	1	0	1	1	Date			14-APR-2016 15:35:22		*							1		1	1		0	3	*					None	*				
3	FBMMAME0000A	ActivMedia, External Transport	000	Subassembly	Attribute		50	1				EA	Item	1	0	1	1	Date			12-MAY-2016 15:48:30		*							1		1			0	0	*					None	*				
3	FBMMAMS0000A	ActivMedia, External Shutter	000	Subassembly	Attribute		60	1				EA	Item	1	0	1	1	Date			12-MAY-2016 15:48:31		*							1		1			0	0	*					None	*				
3	FBCDCADF0C0A	ActivDispense MC,CNV,CAD,20	000	Subassembly	Attribute		130	1				EA	Item	1	0	1	1	Date			12-MAY-2016 15:48:33		*							1		1			0	0	*					None	*				
3	FBMXRD00000A	Rear service display with touchscreen, 10.4 inch	000	Subassembly	Attribute		160	1				EA	Item	1	0	1	1	Date			12-MAY-2016 15:48:34		*							1		1			0	0	*					None	*				
3	FBKXMKHPF00A	Field upgrade kit, 85 key English maintenance keyboard and install kit, Diebold 57XX and 77XX front loading terminals	000	Subassembly	Attribute		10	1				EA	Item	1	0	1	1	Date			03-JUN-2016 08:44:20		*							1		1			0	0	*					None	*				
3	FBKXMKHPR00A	Field upgrade kit, 85 key English maintenance keyboard and install kit, Diebold 57XX and 77XX rear loading terminals	000	Subassembly	Attribute		20	1				EA	Item	1	0	1	1	Date			03-JUN-2016 08:44:22		*							1		1			0	0	*					None	*				
3	FBKXMKHPF00B	Field upgrade kit, 85 key English maintenance keyboard and install kit, Diebold 7790 drive up terminals	000	Subassembly	Attribute		30	1				EA	Item	1	0	1	1	Date			03-JUN-2016 08:44:45		*							1		1			0	0	*					None	*				
3	FBKPRPTSD00A	Field upgrade kit, single roll to dual roll for performance receipt printer module with single sided printing, Diebold 5750 and 77XX series	000	Subassembly	Attribute		10	1				EA	Item	1	0	1	1	Date			14-JUL-2016 16:39:11		*							1		1			0	0	*					None	*				
3	FBKPRPTDD00A	Field upgrade kit, single roll to dual roll for performance receipt printer module with dual sided printing, Diebold 5750 and 77XX series	000	Subassembly	Attribute		20	1				EA	Item	1	0	1	1	Date			14-JUL-2016 16:38:34		*							1		1			0	0	*					None	*				
3	FBKEPPS0000A	Field install kit, PIN pad privacy shield, Diebold 57XX, 7700 and 7750 terminals	000	Subassembly	Attribute		10	1				EA	Item	1	0	1	1	Date			27-JUL-2016 11:57:32		*							1		1			0	0	*					None	*				
4	FBMCBZCRM00D	ActivEdge secure card reader bezel, CS 77XX systems, Mica Gunmetal	000	Subassembly	Attribute		20	1				EA	Item	1	0	1	1	Date			19-AUG-2016 15:35:16		*							1		1			0	0	*					None	*				
4	FBMCBZCRM00H	KIT,BEZEL,MTZ CD RDR,MICA GUNMETAL, FL	000	Subassembly	Attribute		30	1				EA	Item	1	0	1	1	Date			19-AUG-2016 15:35:25		*							1		1			0	0	*					None	*				
4	FBKCRMSSL00A	Field Upgrade Kit, ActivEdge Secure Card Reader, Diebold Standard Terminals	000	Subassembly	Attribute		10	1				EA	Item	1	0	1	1	Date			18-AUG-2016 16:10:48		*							1		1			0	0	*					None	*				
4	FBKCRMSSL00C	Field Upgrade Kit, ActivEdge Secure Card Reader, Diebold 5550 Terminal	000	Subassembly	Attribute		20	1				EA	Item	1	0	1	1	Date			18-AUG-2016 16:10:49		*							1		1			0	0	*					None	*				
4	FBKCRMSHP00A	FIELD UPGRADE,ACTIVEDGE CD RDR,7700/7750/7780	000	Subassembly	Attribute		30	1				EA	Item	1	0	1	1	Date			18-AUG-2016 16:10:53		*							1		1			0	0	*					None	*				
4	FBKCRMSHP00B	FIELD UPGRADE,ACTIVEDGE CARD READER,5700/5750/37xx	000	Subassembly	Attribute		40	1				EA	Item	1	0	1	1	Date			18-AUG-2016 16:10:52		*							1		1			0	0	*					None	*				
4	FBKCRMSHP00C	FIELD UPGRADE,ACTIVEDGE CD RDR,7790	000	Subassembly	Attribute		50	1				EA	Item	1	0	1	1	Date			18-AUG-2016 16:11:06		*							1		1			0	0	*					None	*				
4	FBMCBZCRD00B	Dip card reader bezel, CS 77XX systems, Mica Gunmetal	000	Subassembly	Attribute		20	1				EA	Item	1	0	1	1	Date			19-AUG-2016 17:06:54		*							1		1			0	0	*					None	*				
4	FBKCRDSL000A	Field install kit, EMV dip card reader, Diebold standard line terminals	000	Subassembly	Attribute		10	1				EA	Item	1	0	1	1	Date			19-AUG-2016 17:09:22		*							1		1			0	0	*					None	*				
4	FBKCRDSL000C	Field install kit, EMV dip card reader, Diebold 5550 terminals	000	Subassembly	Attribute		20	1				EA	Item	1	0	1	1	Date			19-AUG-2016 17:08:12		*							1		1			0	0	*					None	*				
4	FBKCRDHP000A	Field install kit, EMV dip card reader, Diebold high performance terminals	000	Subassembly	Attribute		30	1				EA	Item	1	0	1	1	Date			19-AUG-2016 17:08:11		*							1		1			0	0	*					None	*				
4	FBKCRDHP000B	Field install kit, EMV dip card reader, Diebold 5750 terminals	000	Subassembly	Attribute		40	1				EA	Item	1	0	1	1	Date			19-AUG-2016 17:08:11		*							1		1			0	0	*					None	*				
4	FBKCRDTMD00C	Field install kit, TMD CPK+ 6001 card protection kit with TVK and SDK, dip card reader (model 3), Diebold 5700, 7700 and 7750 terminals	000	Subassembly	Attribute		10	1				EA	Item	1	0	1	1	Date			22-AUG-2016 11:15:34		*							1		1			0	0	*					None	*				
4	FBKCRDTMD00D	Field install kit, TMD CPK+ 6001 card protection kit with TVK and SDK, dip card reader (model 3), Diebold 5750 terminals	000	Subassembly	Attribute		20	1				EA	Item	1	0	1	1	Date			22-AUG-2016 11:15:22		*							1		1			0	0	*					None	*				
1	MGS_SST	SST Managed Services	000	PTO model	Attribute		30	1				EA	Item	1	100	1	1	Date			17-AUG-2016 11:44:16		*		Phantom					1		1					*					None					
1	PRS_SST	SST Professional Services	000	PTO model	Attribute		40	1				EA	Item	1	100	1	1	Date			17-AUG-2016 11:44:17		*		Phantom					1		1					*					None					
3	00157260000A	PS COMMANDER Base Server Implementation	000	Subassembly	Attribute		10	1				EA	Item	1	100	1	1	Date			22-JUN-2016 11:38:23		*							1		1			0	0	*					None	*				
3	00157261000A	PS COMMANDER Server with Gateway Implementation	000	Subassembly	Attribute		20	1				EA	Item	1	100	1	1	Date			22-JUN-2016 11:38:22		*							1		1			0	0	*					None	*				
3	00157262000A	PS COMMANDER Marketing and Personalization - includes Campaign, Personalization, and or, 1to1	000	Subassembly	Attribute		30	1				EA	Item	1	100	1	1	Date			22-JUN-2016 11:38:18		*							1		1			0	0	*					None	*				
3	00157263000A	PS ACAI - COMMANDER Marketing and Personalization - includes Campaign, Personalization, 1 to 1 and or eCommunication	000	Subassembly	Attribute		40	1				EA	Item	1	100	1	1	Date			22-JUN-2016 11:38:17		*							1		1			0	0	*					None	*				
3	00157264000A	PS COMMANDER Compliance and Asset Management	000	Subassembly	Attribute		50	1				EA	Item	1	100	1	1	Date			22-JUN-2016 11:38:16		*							1		1			0	0	*					None	*				
3	00157265000A	PS ACAI - COMMANDER Asset Management	000	Subassembly	Attribute		60	1				EA	Item	1	100	1	1	Date			22-JUN-2016 11:38:16		*							1		1			0	0	*					None	*				
3	00157266000A	PS COMMANDER Deposit Analytics and Deposit Dispute Management	000	Subassembly	Attribute		70	1				EA	Item	1	100	1	1	Date			22-JUN-2016 11:38:13		*							1		1			0	0	*					None	*				
3	00157267000A	PS COMMANDER Performance Tuning of Deposit Analytics	000	Subassembly	Attribute		80	1				EA	Item	1	100	1	1	Date			22-JUN-2016 11:38:12		*							1		1			0	0	*					None	*				
3	00157268000A	PS COMMANDER Software Deployment and Management	000	Subassembly	Attribute		90	1				EA	Item	1	100	1	1	Date			22-JUN-2016 11:38:11		*							1		1			0	0	*					None	*				
3	00157269000A	PS ACAI - COMMANDER Software Deployment and Management	000	Subassembly	Attribute		100	1				EA	Item	1	100	1	1	Date			22-JUN-2016 11:37:20		*							1		1			0	0	*					None	*				
3	00157270000A	PS COMMANDER eCommunications	000	Subassembly	Attribute		110	1				EA	Item	1	100	1	1	Date			22-JUN-2016 11:37:21		*							1		1			0	0	*					None	*				
3	00157271000A	PS COMMANDER Troubleshooting Manager	000	Subassembly	Attribute		120	1				EA	Item	1	100	1	1	Date			22-JUN-2016 11:37:22		*							1		1			0	0	*					None	*				
3	00157272000A	PS COMMANDER Content Manager	000	Subassembly	Attribute		130	1				EA	Item	1	100	1	1	Date			22-JUN-2016 11:38:09		*							1		1			0	0	*					None	*				
3	00157273000A	PS XPRESSION Easy Interactive	000	Subassembly	Attribute		140	1				EA	Item	1	100	1	1	Date			22-JUN-2016 11:37:15		*							1		1			0	0	*					None	*				
3	00157274000A	PS XPRESSION Teller Assist	000	Subassembly	Attribute		150	1				EA	Item	1	100	1	1	Date			22-JUN-2016 11:37:18		*							1		1			0	0	*					None	*				
3	00157275000A	PS XPRESSION Interactive Teller - Integration	000	Subassembly	Attribute		160	1				EA	Item	1	100	1	1	Date			22-JUN-2016 11:37:16		*							1		1			0	0	*					None	*				
3	00157361000A	PS Project Management - Phoenix	000	Subassembly	Attribute		180	1				EA	Item	1	100	1	1	Date			22-JUN-2016 11:37:11		*							1		1			0	0	*					None	*				
3	00157259000A	PS - VISTAatm Developer Support Bundle	000	Subassembly	Attribute		190	1				EA	Item	1	100	1	1	Date			16-AUG-2016 11:23:20		*							1		1			0	0	*					None	*				
1	PRD_SST	SST Product not ATM configuration	000	PTO model	Attribute		50	1				EA	Item	1	100	1	1	Date			17-AUG-2016 11:44:23		*		Phantom					1		1					*					None					
3	00105882000E	Pro Services, Lousiana Flood	000	Subassembly	Attribute		10	1				EA	Item	1	0	1	1	Date			31-AUG-2016 13:08:49		*							1		1			0	0	*					None	*				
